	Estimate	Std. Error	z value	Pr(>|z|)
SNP.1	0.073645021929639	0.115167969129097	0.639457502694063	0.52252535140738
SNP.2	0.0357496788163709	0.135455539481948	0.263921866562978	0.791840125777151
SNP.3	0.0360272077622822	0.104438705081257	0.344960306949918	0.730124211606832
SNP.4	0.0816841282118061	0.0967233160686043	0.844513314182372	0.398382626544717
SNP.5	0.0695826540281468	0.107450957546589	0.647575932471117	0.517259267926517
SNP.6	-0.0578971029973017	0.176014160804158	-0.328934346718392	0.742205312626484
SNP.7	-0.00115432348723611	0.115548703172798	-0.00998993026784445	0.992029321453245
SNP.8	0.108569958346431	0.0995266492716314	1.09086319233072	0.275333085388781
SNP.9	0.329094077327752	0.136542650710832	2.4101925340874	0.0159441039726754
SNP.10	0.321035697873742	0.112083310386296	2.86425960089232	0.00417985294758592
SNP.11	0.216709662211752	0.125040451675359	1.73311643798595	0.0830749752425639
SNP.12	0.0449207098268056	0.0977766340935407	0.459421724251941	0.645931350791899
SNP.13	0.101922799537942	0.100496742488709	1.01419008232424	0.31049206007723
SNP.14	0.22950269483862	0.113105044938329	2.02911103535441	0.0424469821585758
SNP.15	0.341051154167543	0.151704694973031	2.24812524245327	0.0245682048977507
SNP.16	0.277979648824064	0.0983919788785923	2.82522673079956	0.00472471702948588
SNP.17	0.237560332234347	0.0976327548390982	2.43320320752859	0.0149658991023139
SNP.18	0.207863407603061	0.106888068622691	1.9446829780114	0.0518131454744775
SNP.19	0.180942677022743	0.104375492877316	1.7335743481032	0.0829936351975907
SNP.20	0.219330505283376	0.0962646841245914	2.27841089676777	0.0227021077752705
SNP.21	0.19313514998458	0.0969639943982786	1.99182336890206	0.0463904412631897
SNP.22	0.164848654312411	0.124520739254454	1.3238650468943	0.185547868427853
SNP.23	0.169862193115638	0.097156655888325	1.74833305616121	0.0804063724356187
SNP.24	0.147528586034281	0.119431630538811	1.2352555631093	0.216735406161117
SNP.25	0.0560996486534725	0.127082545943864	0.441442593369616	0.658892612449944
SNP.26	0.119210128560888	0.110082352053806	1.08291770966721	0.278844950428948
SNP.27	0.198396122203854	0.130008687239186	1.5260220406568	0.12700437551396
SNP.28	-0.0305850211137042	0.0962225404974737	-0.317857135714549	0.750593308338561
SNP.29	0.0740106927952901	0.148899747188259	0.497050493320957	0.619153444667906
SNP.30	-0.153384920030217	0.12285057076177	-1.2485486968364	0.211830186717026
SNP.31	0.012409478925348	0.0990212373827538	0.125321388152127	0.900269120369364
SNP.32	0.0856957289477077	0.111581768123631	0.768008343914733	0.442482227769372
SNP.33	-0.137038704438499	0.104469840373446	-1.31175374585268	0.189603236015446
SNP.34	-0.0284418092611308	0.143473019764091	-0.198238033240653	0.842858831694168
